question,answer,category,mode,resume_context,human_score_1,human_score_2,human_score_3
"Tell me about a time you led a project under tight deadlines.","I led the migration of our payment service to a new provider in two weeks. I set up daily standups, broke down the work into 3-day sprints, and personally handled the most complex API integration. We shipped on time with zero downtime.","Behavioral","behavioral","5 years of experience in backend engineering, led a team of 4 engineers.",8,7,8
"Explain the difference between TCP and UDP. When would you use each?","TCP guarantees delivery and ordering via handshake and ACKs — good for HTTP, email. UDP is connectionless and faster but unreliable — good for video streaming, DNS, gaming where a dropped packet is less harmful than latency.","Technical","coding","Computer Science graduate, 3 years of networking experience.",9,8,9
"Design a URL shortener like bit.ly.","I'd use a hash function (base62 of MD5) to generate 7-char codes, store the mapping in a key-value store like Redis with a TTL, and serve reads from a CDN. For scale, I'd shard by the first byte of the hash.","System Design","system_design","2 years experience with distributed systems, built a caching layer.",7,6,7
"What is your greatest professional weakness?","I sometimes over-engineer solutions. I've been actively working on this by setting timebox constraints before starting implementation and getting early feedback from teammates.","Behavioral","behavioral","Junior engineer, 1 year of experience.",6,5,6
"How does Python's GIL affect multithreaded programs?","The GIL prevents multiple Python threads from executing bytecode simultaneously. For CPU-bound tasks this limits parallelism, but for I/O-bound tasks threads can release the GIL while waiting, so it helps there. For CPU-bound parallelism, multiprocessing bypasses the GIL.","Technical","coding","Python developer with 3 years experience.",8,9,8
"Describe a situation where you disagreed with your manager.","Once my manager wanted to skip unit tests to ship faster. I respectfully raised the risk of regression bugs and proposed a compromise: skip end-to-end tests but keep unit tests for critical paths. He agreed, and we avoided two regressions in the next sprint.","Behavioral","behavioral","Mid-level engineer, team lead experience.",8,8,7
"What's the time complexity of building a heap from an array?","O(n). It seems like it should be O(n log n) but because most nodes are near the bottom of the tree and require fewer swaps during heapify, the amortized cost is linear.","Technical","coding","Algorithms course graduate.",7,8,7
"How would you handle a production outage at 3am?","First, page the on-call team via PagerDuty. Check metrics dashboards for error spikes or latency jumps. Roll back the last deployment if timing correlates. Mitigate first, root-cause after. Write an incident report after resolution.","Behavioral","behavioral","",5,6,5
"Explain eventual consistency.","In eventual consistency, replicas may temporarily diverge after a write, but will converge to the same value given no new updates. It trades consistency for availability and partition tolerance, useful in DynamoDB or Cassandra.","Technical","system_design","Backend engineer with distributed systems experience.",8,7,8
"Tell me about a technical decision you regret.","Early in my career I chose MongoDB for a project that turned out to need many relational joins. We later spent weeks migrating to Postgres. I learned to model data access patterns before choosing a database.","Behavioral","behavioral","3 years backend experience.",7,7,8
"What is a deadlock and how do you prevent it?","A deadlock occurs when two threads each hold a resource the other needs. Prevention strategies: acquire locks in a consistent order, use lock timeouts, or use tryLock() with fallback logic.","Technical","coding","Systems programmer.",8,9,8
"How do you prioritize features on a roadmap?","I use an impact vs effort matrix. High-impact, low-effort items go first. I also factor in user research data, business goals, and technical debt cost. I get alignment with stakeholders before finalizing each quarter's roadmap.","Behavioral","behavioral","Product-minded engineer.",7,6,7
"What is consistent hashing and when is it used?","Consistent hashing maps keys to a ring of nodes so that adding or removing a node only remaps 1/n of keys instead of all of them. Used in distributed caches like Memcached and load balancers.","Technical","system_design","Distributed systems engineer.",9,8,9
"Tell me about a time you improved team process.","I noticed our PR reviews were taking 3+ days. I introduced a rule: any PR under 200 lines must be reviewed within 24 hours. I also added a PR template to reduce back-and-forth. Average review time dropped from 3 days to 18 hours.","Behavioral","behavioral","Team lead.",8,8,7
"How does a B-tree index work in a database?","A B-tree organizes keys in sorted order across balanced nodes, allowing O(log n) search, insert, and delete. Each node stores multiple keys and child pointers, minimizing disk I/O. Postgres uses B-tree by default for most indexes.","Technical","coding","Database engineer.",8,7,8
"What's the difference between authorization and authentication?","Authentication verifies who you are (passwords, tokens). Authorization determines what you're allowed to do (roles, permissions). OAuth is an authorization protocol; OpenID Connect adds authentication on top.","Technical","coding","Security-aware developer.",7,8,8
"Design a rate limiter.","I'd use a token bucket algorithm: each user gets a bucket of N tokens, refilled at rate R per second. Each request consumes a token; if the bucket is empty, the request is rejected. Store buckets in Redis with INCR and TTL for distributed enforcement.","System Design","system_design","Backend infrastructure engineer.",8,8,9
"Describe your experience with CI/CD pipelines.","I built a GitHub Actions pipeline that runs unit tests, linting, and a Docker build on every PR. Merges to main trigger an automated deploy to staging. Production deploys require manual approval. Cut deploy time from 45 to 12 minutes.","Technical","coding","DevOps-experienced engineer.",7,8,7
"How do you handle technical debt in a fast-moving team?","I track debt items in a dedicated label in Jira and reserve 15-20% of each sprint for debt reduction. I also do a quarterly review to assess which debt items are costing us the most in velocity and prioritize those.","Behavioral","behavioral","Engineering manager.",7,6,7
"What happens when you type a URL in a browser?","DNS resolves the domain to an IP. TCP handshake establishes a connection. TLS handshake if HTTPS. HTTP request sent. Server processes and returns HTML. Browser parses HTML, fetches sub-resources, renders.","Technical","system_design","","7,8,7"
